"Name","Month","TotalPrecipitation_New"
"Long Beach Area","2018-01",1.48
"Long Beach Area","2018-02",0.29
"Long Beach Area","2018-03",1.64
"Long Beach Area","2018-04",0.04
"Long Beach Area","2018-05",0.01
"Long Beach Area","2018-06",0
"Long Beach Area","2018-07",0
"Long Beach Area","2018-08",0
"Long Beach Area","2018-09",0
"Long Beach Area","2018-10",0.55
"Long Beach Area","2018-11",1.31
"Long Beach Area","2018-12",1.75
"Long Beach Area","2019-01",6.42
"Long Beach Area","2019-02",5.06
"Long Beach Area","2019-03",1.98
"Long Beach Area","2019-04",0.02
"Long Beach Area","2019-05",0.5
"Long Beach Area","2019-06",0.03
"Long Beach Area","2019-07",0.01
"Long Beach Area","2019-08",0
"Long Beach Area","2019-09",0
"Long Beach Area","2019-10",0
"Long Beach Area","2019-11",2.86
"Long Beach Area","2019-12",4.63
"Long Beach Area","2020-01",0.31
"Long Beach Area","2020-02",0.33
"Long Beach Area","2020-03",3.01
"Long Beach Area","2020-04",3.03
"Long Beach Area","2020-05",0.04
"Long Beach Area","2020-06",0
"Long Beach Area","2020-07",0
"Long Beach Area","2020-08",0
"Long Beach Area","2020-09",0
"Long Beach Area","2020-10",0.03
"Long Beach Area","2020-11",0.04
"Long Beach Area","2020-12",1.49
"Long Beach Area","2021-01",1.37
"Long Beach Area","2021-02",0.07
"Long Beach Area","2021-03",1.47
"Long Beach Area","2021-04",0.02
"Long Beach Area","2021-05",0
"Long Beach Area","2021-06",0
"Long Beach Area","2021-07",0.03
"Long Beach Area","2021-08",0.04
"Long Beach Area","2021-09",0
"Long Beach Area","2021-10",0.39
"Long Beach Area","2021-11",0
"Long Beach Area","2021-12",5.74
"Long Beach Area","2022-01",0.01
"Long Beach Area","2022-02",0.08
"Long Beach Area","2022-03",0.9
"Long Beach Area","2022-04",0.15
"Long Beach Area","2022-05",0
"Long Beach Area","2022-06",0.12
"Long Beach Area","2022-07",0
"Long Beach Area","2022-08",0
"Long Beach Area","2022-09",0.2
"Long Beach Area","2022-10",0.18
"Long Beach Area","2022-11",0.96
"Long Beach Area","2022-12",3.19
"Long Beach Area","2023-01",6.32
"Long Beach Area","2023-02",2.9
"Long Beach Area","2023-03",6.91
"Long Beach Area","2023-04",0.08
"Long Beach Area","2023-05",0.53
"Long Beach Area","2023-06",0
"Long Beach Area","2023-07",0
"Long Beach Area","2023-08",2.66
"Long Beach Area","2023-09",0.02
"Long Beach Area","2023-10",0.01
"Long Beach Area","2023-11",0.53
"Long Beach Area","2023-12",1.24
"Long Beach Area","2024-01",2.12
"Long Beach Area","2024-02",11.95
"Long Beach Area","2024-03",3.92
"Long Beach Area","2024-04",0.75
