Monthly Data for August 1973 for California

Name, StationType, County, Longitude, Latitude, Elevation, TotalPrecipitation
GOLD ROCK RANCH, COOP, Imperial, -114.867, 32.883, 485, 0.20
IMPERIAL, COOP, Imperial, -115.567, 32.849, -64, 0.27
DESCANSO RANGER STN, COOP, San Diego, -116.617, 32.850, 3500, 0.01
EL CAPITAN DAM, COOP, San Diego, -116.815, 32.886, 600, 0.02
LAKESIDE 2 E, COOP, San Diego, -116.895, 32.854, 690, 0.12
POWAY VALLEY, COOP, San Diego, -117.031, 33.020, 648, 0.12
SAN CLEMENTE ISLAND NAAS, WBAN, Los Angeles, -118.588, 33.023, 182, T
RAMONA SPAULDING, COOP, San Diego, -116.850, 33.067, 1480, 0.02
JULIAN WYNOLA, COOP, San Diego, -116.650, 33.100, 3650, 0.15
ESCONDIDO, COOP, San Diego, -117.083, 33.117, 659, 0.00
OCOTILLO WELLS, COOP, San Diego, -116.133, 33.150, 180, 0.13
HENSHAW DAM, COOP, San Diego, -116.761, 33.237, 2700, 0.05
VISTA, COOP, San Diego, -117.232, 33.235, 430, T
OCEANSIDE MARINA, COOP, San Diego, -117.395, 33.210, 10, 0.00
NILAND, COOP, Imperial, -115.524, 33.278, -60, 0.01
BORREGO DESERT PARK, COOP, San Diego, -116.404, 33.256, 810, 0.62
WARNER SPRINGS, COOP, San Diego, -116.633, 33.283, 3182, 0.21
PALOMAR MTN OBSERVATORY, COOP, San Diego, -116.840, 33.378, 5550, 0.19
MECCA FIRE STATION, COOP, Riverside, -116.073, 33.570, -183, 0.05
LAGUNA BEACH, COOP, Orange, -117.781, 33.545, 44, T
BLYTHE ASOS, WBAN, Riverside, -114.715, 33.619, 395, 0.38
DESERT RESORTS REGIONAL AP, WBAN, Riverside, -116.164, 33.632, -118, 0.31
BARSTOW-DAGGETT AIRPORT, WBAN, San Bernardino, -116.787, 34.854, 1919, 0.65
MERCED, COOP, Merced, -120.516, 37.289, 154, 0.00
GILLESPIE FIELD, WBAN, San Diego, -116.967, 32.817, 405, T
SAN DIEGO INTERNATIONAL AP, WBAN, San Diego, -117.183, 32.734, 15, T
SAN DIEGO MIRAMAR NAS, WBAN, San Diego, -117.133, 32.867, 477, T
NORTH ISLAND NAS, WBAN, San Diego, -117.210, 32.692, 14, T
SAN FRANCISCO INTERNATIONAL AP, WBAN, San Mateo, -122.366, 37.620, 10, T
BRAWLEY 2 SW, COOP, Imperial, -115.558, 32.954, -100, 0.26
CEDARVILLE, COOP, Modoc, -120.179, 41.530, 4688, T
CHICO UNIVERSITY FARM, COOP, Butte, -121.821, 39.691, 185, 0.00
CHULA VISTA, COOP, San Diego, -117.086, 32.640, 56, T
COLFAX, COOP, Placer, -120.947, 39.090, 2373, 0.00
CUYAMACA, COOP, San Diego, -116.587, 32.990, 4640, 1.54
DAVIS 2 WSW EXP FARM, COOP, Yolo, -121.776, 38.535, 60, 0.00
DEATH VALLEY NATIONAL PARK, WBAN, Inyo, -116.867, 36.463, -194, T
ELECTRA P H, COOP, Amador, -120.671, 38.331, 715, 0.00
FAIRMONT, COOP, Los Angeles, -118.430, 34.705, 3060, T
FORT BRAGG 5 N, COOP, Mendocino, -123.756, 39.510, 123, 0.16
HANFORD 1 S, COOP, Kings, -119.637, 36.316, 237, 0.00
HAPPY CAMP RANGER STATION, COOP, Siskiyou, -123.375, 41.796, 1142, 0.00
HEALDSBURG, COOP, Sonoma, -122.866, 38.629, 177, T
INDIO FIRE STATION, COOP, Riverside, -116.215, 33.709, -21, 0.00
LAKE SPAULDING, COOP, Nevada, -120.639, 39.318, 5156, 0.98
LEMON COVE, COOP, Tulare, -119.026, 36.382, 513, 0.00
LIVERMORE, COOP, Alameda, -121.751, 37.682, 529, 0.00
LODI, COOP, San Joaquin, -121.288, 38.106, 40, 0.00
