Monthly Data for September 1979 for California

Name, StationType, County, Longitude, Latitude, Elevation, TotalPrecipitation
BARSTOW-DAGGETT AIRPORT, WBAN, San Bernardino, -116.787, 34.854, 1919, 0.15
MERCED, COOP, Merced, -120.516, 37.289, 154, 0.00
SAN DIEGO INTERNATIONAL AP, WBAN, San Diego, -117.183, 32.734, 15, 0.00
SAN DIEGO MIRAMAR NAS, WBAN, San Diego, -117.133, 32.867, 477, 0.03
NORTH ISLAND NAS, WBAN, San Diego, -117.210, 32.692, 14, 0.00
SAN FRANCISCO INTERNATIONAL AP, WBAN, San Mateo, -122.366, 37.620, 10, T
BRAWLEY 2 SW, COOP, Imperial, -115.558, 32.954, -100, 0.00
CEDARVILLE, COOP, Modoc, -120.179, 41.530, 4688, T
CHICO UNIVERSITY FARM, COOP, Butte, -121.821, 39.691, 185, 0.29
CHULA VISTA, COOP, San Diego, -117.086, 32.640, 56, 0.00
COLFAX, COOP, Placer, -120.947, 39.090, 2373, 0.18
CUYAMACA, COOP, San Diego, -116.587, 32.990, 4640, 0.37
DAVIS 2 WSW EXP FARM, COOP, Yolo, -121.776, 38.535, 60, 0.00
DEATH VALLEY NATIONAL PARK, WBAN, Inyo, -116.867, 36.463, -194, T
ELECTRA P H, COOP, Amador, -120.671, 38.331, 715, 0.01
FAIRMONT, COOP, Los Angeles, -118.430, 34.705, 3060, 0.01
FORT BRAGG 5 N, COOP, Mendocino, -123.756, 39.510, 123, 0.31
HANFORD 1 S, COOP, Kings, -119.637, 36.316, 237, 0.08
HAPPY CAMP RANGER STATION, COOP, Siskiyou, -123.375, 41.796, 1142, 1.21
HEALDSBURG, COOP, Sonoma, -122.866, 38.629, 177, 0.11
INDIO FIRE STATION, COOP, Riverside, -116.215, 33.709, -21, 0.00
LAKE SPAULDING, COOP, Nevada, -120.639, 39.318, 5156, 0.05
LEMON COVE, COOP, Tulare, -119.026, 36.382, 513, 0.12
LIVERMORE, COOP, Alameda, -121.751, 37.682, 529, 0.00
LODI, COOP, San Joaquin, -121.288, 38.106, 40, 0.00
MARYSVILLE, COOP, Yuba, -121.585, 39.146, 57, 0.11
NAPA STATE HOSPITAL, COOP, Napa, -122.265, 38.278, 35, T
OJAI, COOP, Ventura, -119.227, 34.448, 745, 0.10
ORLAND, COOP, Glenn, -122.200, 39.746, 254, 0.38
ORLEANS, COOP, Humboldt, -123.539, 41.302, 403, 1.35
PASADENA, COOP, Los Angeles, -118.145, 34.148, 864, 0.00
PASO ROBLES, COOP, San Luis Obispo, -120.685, 35.628, 730, 0.06
PETALUMA AIRPORT, COOP, Sonoma, -122.608, 38.258, 20, 0.09
REDDING FIRE STN 4, COOP, Shasta, -122.383, 40.550, 470, 0.29
REDLANDS, COOP, San Bernardino, -117.195, 34.037, 1410, 0.00
SANTA BARBARA, COOP, Santa Barbara, -119.684, 34.417, 16, 0.00
SANTA CRUZ, COOP, Santa Cruz, -122.000, 36.988, 70, 0.00
SANTA ROSA, COOP, Sonoma, -122.713, 38.456, 166, 0.09
TAHOE CITY, COOP, Placer, -120.143, 39.168, 6230, 0.06
TUSTIN IRVINE RANCH, COOP, Orange, -117.754, 33.703, 235, 0.00
UKIAH, COOP, Mendocino, -123.210, 39.147, 636, 0.17
VACAVILLE, COOP, Solano, -121.961, 38.396, 110, 0.00
WASCO, COOP, Kern, -119.352, 35.589, 291, T
WEAVERVILLE, COOP, Trinity, -122.944, 40.735, 2058, 1.34
WILLOWS 6 W, COOP, Glenn, -122.305, 39.523, 234, 0.41
YOSEMITE PARK HEADQUARTERS, COOP, Mariposa, -119.590, 37.750, 4018, 0.03
YREKA, COOP, Siskiyou, -122.641, 41.703, 2709, 0.47
BERKELEY, COOP, Alameda, -122.260, 37.874, 310, T
BLYTHE, COOP, Riverside, -114.598, 33.614, 268, 0.02
EUREKA WFO WOODLEY ISLAND, WBAN, Humboldt, -124.160, 40.810, 20, 1.15
INDEPENDENCE, WBAN, Inyo, -118.204, 36.798, 3950, 0.28
SAN LUIS OBISPO POLY, WBAN, San Luis Obispo, -120.662, 35.306, 308, 0.20
BURNEY, WBAN, Shasta, -121.655, 40.880, 3198, 0.36
IMPERIAL BEACH REAM FIELD NAS, WBAN, San Diego, -117.117, 32.568, 24, 0.00
CAMPO, COOP, San Diego, -116.470, 32.626, 2630, 0.04
CALEXICO 2 NE, COOP, Imperial, -115.464, 32.688, 12, T
BARRETT DAM, COOP, San Diego, -116.667, 32.683, 1621, 0.00
EL CENTRO 2 SSW, COOP, Imperial, -115.562, 32.767, -30, 0.00
OCOTILLO 2, COOP, Imperial, -116.001, 32.746, 410, 0.00
LA MESA, COOP, San Diego, -117.023, 32.768, 530, 0.00
IMPERIAL COUNTY AP, WBAN, Imperial, -115.577, 32.835, -55, T
ALPINE, COOP, San Diego, -116.777, 32.836, 1695, 0.00
DEEP CANYON LAB, COOP, Riverside, -116.376, 33.651, 1200, T
EL TORO MCAS, WBAN, Orange, -117.733, 33.667, 384, T
HAYFIELD PUMPING PLANT, COOP, Riverside, -115.629, 33.704, 1370, 0.00
SUN CITY, COOP, Riverside, -117.190, 33.716, 1420, T
TUSTIN MCAF, WBAN, Orange, -117.833, 33.700, 56, T
IDYLLWILD FIRE DEPT, COOP, Riverside, -116.707, 33.757, 5380, 0.02
HEMET, COOP, Riverside, -116.894, 33.738, 1811, 0.00
SANTA ANA FIRE STATION, COOP, Orange, -117.867, 33.744, 135, T
EAGLE MOUNTAIN, COOP, Riverside, -115.451, 33.808, 973, 0.00
PALM SPRINGS, COOP, Riverside, -116.510, 33.828, 425, 0.39
LONG BEACH DAUGHERTY AP, WBAN, Los Angeles, -118.147, 33.812, 34, T
SNOW CREEK UPPER, COOP, Riverside, -116.680, 33.873, 1940, 0.13
CORONA, COOP, Riverside, -117.550, 33.883, 610, 0.00
BEAUMONT #2, WBAN, Riverside, -116.990, 33.926, 2591, T
YORBA LINDA, COOP, Orange, -117.819, 33.890, 350, 0.00
LOS ANGELES INTL AP, WBAN, Los Angeles, -118.387, 33.938, 97, 0.04
RIVERSIDE FIRE STATION 3, COOP, Riverside, -117.388, 33.951, 840, T
RIVERSIDE CITRUS EXP, COOP, Riverside, -117.361, 33.967, 986, T
MONTEBELLO, COOP, Los Angeles, -118.105, 34.019, 246, T
CULVER CITY, COOP, Los Angeles, -118.414, 34.005, 92, 0.00
