Monthly Data for January 1984 for California

Name, StationType, County, Longitude, Latitude, Elevation, TotalPrecipitation
GOLD ROCK RANCH, COOP, Imperial, -114.867, 32.883, 485, 0.04
IMPERIAL, COOP, Imperial, -115.567, 32.849, -64, 0.20
DESCANSO RANGER STN, COOP, San Diego, -116.617, 32.850, 3500, 0.38
EL CAPITAN DAM, COOP, San Diego, -116.815, 32.886, 600, 0.53
LAKESIDE 2 E, COOP, San Diego, -116.895, 32.854, 690, 0.37
POWAY VALLEY, COOP, San Diego, -117.031, 33.020, 648, 0.35
SAN CLEMENTE ISLAND NAAS, WBAN, Los Angeles, -118.588, 33.023, 182, 0.19
RAMONA FIRE DEPT, COOP, San Diego, -116.908, 33.011, 1470, 0.22
SAN PASQUAL ANIMAL PK, COOP, San Diego, -116.997, 33.096, 420, 0.00
JULIAN WYNOLA, COOP, San Diego, -116.650, 33.100, 3650, 0.14
HENSHAW DAM, COOP, San Diego, -116.761, 33.237, 2700, 0.19
VISTA, COOP, San Diego, -117.232, 33.235, 430, 0.32
OCEANSIDE MARINA, COOP, San Diego, -117.395, 33.210, 10, 0.16
NILAND, COOP, Imperial, -115.524, 33.278, -60, 0.04
BORREGO DESERT PARK, COOP, San Diego, -116.404, 33.256, 810, 0.12
OAK GROVE RS, COOP, San Diego, -116.792, 33.386, 2750, 0.16
PALOMAR MTN OBSERVATORY, COOP, San Diego, -116.840, 33.378, 5550, 0.20
MECCA FIRE STATION, COOP, Riverside, -116.073, 33.570, -183, 0.10
ANZA, COOP, Riverside, -116.674, 33.556, 3915, 0.40
LAGUNA BEACH, COOP, Orange, -117.781, 33.545, 44, 0.11
BLYTHE ASOS, WBAN, Riverside, -114.715, 33.619, 395, 0.06
DESERT RESORTS REGIONAL AP, WBAN, Riverside, -116.164, 33.632, -118, 0.21
CULVER CITY, COOP, Los Angeles, -118.414, 34.005, 92, 0.00
SANTA MONICA PIER, COOP, Los Angeles, -118.500, 34.008, 14, 0.08
FONTANA KAISER, COOP, San Bernardino, -117.517, 34.083, 1102, 0.13
POMONA/FAIRPLEX, COOP, Los Angeles, -117.766, 34.082, 999, 0.00
COVINA CITY YARD FC387B, COOP, Los Angeles, -117.880, 34.092, 607, 0.18
U C L A, COOP, Los Angeles, -118.443, 34.070, 430, 0.04
TOPANGA PATROL FC-6, COOP, Los Angeles, -118.599, 34.084, 745, 0.00
LECHUZA PTRL ST FC352B, COOP, Los Angeles, -118.880, 34.076, 1600, 0.12
IRON MOUNTAIN, COOP, San Bernardino, -115.122, 34.147, 922, 0.05
TWENTYNINE PALMS, COOP, San Bernardino, -116.037, 34.128, 1975, T
SAN BERNARDINO F S 226, COOP, San Bernardino, -117.254, 34.134, 1140, 0.19
GLENDORA FC 287B, COOP, Los Angeles, -117.847, 34.147, 933, 0.43
SAN GABRIEL FIRE DEPT, COOP, Los Angeles, -118.100, 34.084, 363, 0.25
