Monthly Data for April 2005 for California

Name, StationType, County, Longitude, Latitude, Elevation, TotalPrecipitation
IMPERIAL, COOP, Imperial, -115.567, 32.849, -64, 0.00
LAKESIDE 2 E, COOP, San Diego, -116.895, 32.854, 690, 3.22
POWAY VALLEY, COOP, San Diego, -117.031, 33.020, 648, 0.65
JULIAN CDF, COOP, San Diego, -116.592, 33.076, 4215, 2.16
RAMONA FIRE DEPT, COOP, San Diego, -116.908, 33.011, 1470, 1.13
SAN PASQUAL ANIMAL PK, COOP, San Diego, -116.997, 33.096, 420, 1.15
CARLSBAD MCCLELLAN PALOMAR AP, WBAN, San Diego, -117.277, 33.130, 313, 0.82
HENSHAW DAM, COOP, San Diego, -116.761, 33.237, 2700, 1.51
VISTA, COOP, San Diego, -117.232, 33.235, 430, 0.80
OCEANSIDE MARINA, COOP, San Diego, -117.395, 33.210, 10, 0.78
NILAND, COOP, Imperial, -115.524, 33.278, -60, 0.00
BORREGO DESERT PARK, COOP, San Diego, -116.404, 33.256, 810, 0.00
OAK GROVE RS, COOP, San Diego, -116.792, 33.386, 2750, 1.02
PALOMAR MTN OBSERVATORY, COOP, San Diego, -116.840, 33.378, 5550, 2.22
TEMECULA, COOP, Riverside, -117.151, 33.497, 1020, 1.41
MECCA FIRE STATION, COOP, Riverside, -116.073, 33.570, -183, 0.00
LAGUNA BEACH, COOP, Orange, -117.781, 33.545, 44, 1.60
BLYTHE ASOS, WBAN, Riverside, -114.715, 33.619, 395, T
DESERT RESORTS REGIONAL AP, WBAN, Riverside, -116.164, 33.632, -118, T
BARSTOW-DAGGETT AIRPORT, WBAN, San Bernardino, -116.787, 34.854, 1919, 0.13
MERCED, COOP, Merced, -120.516, 37.289, 154, 1.37
SAN DIEGO MONTGOMERY FIELD, WBAN, San Diego, -117.137, 32.815, 418, 0.44
SAN DIEGO INTERNATIONAL AP, WBAN, San Diego, -117.183, 32.734, 15, 0.59
SAN DIEGO MIRAMAR NAS, WBAN, San Diego, -117.133, 32.867, 477, 0.59
NORTH ISLAND NAS, WBAN, San Diego, -117.210, 32.692, 14, 0.59
SAN FRANCISCO INTERNATIONAL AP, WBAN, San Mateo, -122.366, 37.620, 10, 1.70
SAN LUIS OBISPO MCCHESNEY FIELD, WBAN, San Luis Obispo, -120.644, 35.238, 183, 1.19
BRAWLEY 2 SW, COOP, Imperial, -115.558, 32.954, -100, 0.00
CEDARVILLE, COOP, Modoc, -120.179, 41.530, 4688, 1.58
CHICO UNIVERSITY FARM, COOP, Butte, -121.821, 39.691, 185, 1.56
CHULA VISTA, COOP, San Diego, -117.086, 32.640, 56, 0.06
COLFAX, COOP, Placer, -120.947, 39.090, 2373, 3.01
CUYAMACA, COOP, San Diego, -116.587, 32.990, 4640, 2.79
DAVIS 2 WSW EXP FARM, COOP, Yolo, -121.776, 38.535, 60, 0.77
DEATH VALLEY NATIONAL PARK, WBAN, Inyo, -116.867, 36.463, -194, 0.05
FAIRMONT, COOP, Los Angeles, -118.430, 34.705, 3060, 1.10
FORT BRAGG 5 N, COOP, Mendocino, -123.756, 39.510, 123, 3.73
HANFORD 1 S, COOP, Kings, -119.637, 36.316, 237, 0.71
