Monthly Data for February 2006 for California

Name, StationType, County, Longitude, Latitude, Elevation, TotalPrecipitation
IMPERIAL, COOP, Imperial, -115.567, 32.849, -64, T
EL CAPITAN DAM, COOP, San Diego, -116.815, 32.886, 600, 0.49
LAKESIDE 2 E, COOP, San Diego, -116.895, 32.854, 690, 1.71
POWAY VALLEY, COOP, San Diego, -117.031, 33.020, 648, 1.31
JULIAN CDF, COOP, San Diego, -116.592, 33.076, 4215, 5.34
RAMONA FIRE DEPT, COOP, San Diego, -116.908, 33.011, 1470, 2.10
SAN PASQUAL ANIMAL PK, COOP, San Diego, -116.997, 33.096, 420, 1.72
CARLSBAD MCCLELLAN PALOMAR AP, WBAN, San Diego, -117.277, 33.130, 313, 1.21
HENSHAW DAM, COOP, San Diego, -116.761, 33.237, 2700, 3.24
VISTA, COOP, San Diego, -117.232, 33.235, 430, 1.27
OCEANSIDE MARINA, COOP, San Diego, -117.395, 33.210, 10, 1.05
BORREGO DESERT PARK, COOP, San Diego, -116.404, 33.256, 810, 0.15
OAK GROVE RS, COOP, San Diego, -116.792, 33.386, 2750, 2.93
PALOMAR MTN OBSERVATORY, COOP, San Diego, -116.840, 33.378, 5550, 5.87
TEMECULA, COOP, Riverside, -117.151, 33.497, 1020, 0.50
MECCA FIRE STATION, COOP, Riverside, -116.073, 33.570, -183, 0.00
LAGUNA BEACH, COOP, Orange, -117.781, 33.545, 44, 1.10
BLYTHE ASOS, WBAN, Riverside, -114.715, 33.619, 395, T
DESERT RESORTS REGIONAL AP, WBAN, Riverside, -116.164, 33.632, -118, 0.02
BARSTOW-DAGGETT AIRPORT, WBAN, San Bernardino, -116.787, 34.854, 1919, T
MERCED, COOP, Merced, -120.516, 37.289, 154, 0.97
SAN DIEGO MONTGOMERY FIELD, WBAN, San Diego, -117.137, 32.815, 418, 1.34
SAN DIEGO INTERNATIONAL AP, WBAN, San Diego, -117.183, 32.734, 15, 1.11
SAN DIEGO MIRAMAR NAS, WBAN, San Diego, -117.133, 32.867, 477, 1.52
NORTH ISLAND NAS, WBAN, San Diego, -117.210, 32.692, 14, 0.81
SAN FRANCISCO INTERNATIONAL AP, WBAN, San Mateo, -122.366, 37.620, 10, 2.30
SAN LUIS OBISPO MCCHESNEY FIELD, WBAN, San Luis Obispo, -120.644, 35.238, 183, 1.57
BRAWLEY 2 SW, COOP, Imperial, -115.558, 32.954, -100, 0.00
CEDARVILLE, COOP, Modoc, -120.179, 41.530, 4688, 1.41
CHICO UNIVERSITY FARM, COOP, Butte, -121.821, 39.691, 185, 1.53
CHULA VISTA, COOP, San Diego, -117.086, 32.640, 56, 0.96
COLFAX, COOP, Placer, -120.947, 39.090, 2373, 5.00
CUYAMACA, COOP, San Diego, -116.587, 32.990, 4640, 3.00
DAVIS 2 WSW EXP FARM, COOP, Yolo, -121.776, 38.535, 60, 2.13
DEATH VALLEY NATIONAL PARK, WBAN, Inyo, -116.867, 36.463, -194, 0.04
FAIRMONT, COOP, Los Angeles, -118.430, 34.705, 3060, 3.07
FORT BRAGG 5 N, COOP, Mendocino, -123.756, 39.510, 123, 5.16
HANFORD 1 S, COOP, Kings, -119.637, 36.316, 237, 0.55
HAPPY CAMP RANGER STATION, COOP, Siskiyou, -123.375, 41.796, 1142, 2.44
HEALDSBURG, COOP, Sonoma, -122.866, 38.629, 177, 5.93
INDIO FIRE STATION, COOP, Riverside, -116.215, 33.709, -21, 0.00
LEMON COVE, COOP, Tulare, -119.026, 36.382, 513, 0.92
LIVERMORE, COOP, Alameda, -121.751, 37.682, 529, 1.32
LODI, COOP, San Joaquin, -121.288, 38.106, 40, 1.08
MARYSVILLE, COOP, Yuba, -121.585, 39.146, 57, 2.71
MERCED MUNICIPAL AP, WBAN, Merced, -120.518, 37.286, 152, 1.03
NAPA STATE HOSPITAL, COOP, Napa, -122.265, 38.278, 35, 3.71
OJAI, COOP, Ventura, -119.227, 34.448, 745, 4.16
ORLAND, COOP, Glenn, -122.200, 39.746, 254, 2.87
ORLEANS, COOP, Humboldt, -123.539, 41.302, 403, 6.26
PASADENA, COOP, Los Angeles, -118.145, 34.148, 864, 4.01
PASO ROBLES, COOP, San Luis Obispo, -120.685, 35.628, 730, 1.23
PETALUMA AIRPORT, COOP, Sonoma, -122.608, 38.258, 20, 4.28
QUINCY, COOP, Plumas, -120.947, 39.937, 3420, 6.79
REDLANDS, COOP, San Bernardino, -117.195, 34.037, 1410, 2.19
SANTA BARBARA, COOP, Santa Barbara, -119.684, 34.417, 16, 2.74
SANTA CRUZ, COOP, Santa Cruz, -122.000, 36.988, 70, 2.76
SANTA ROSA, COOP, Sonoma, -122.713, 38.456, 166, 3.63
TAHOE CITY, COOP, Placer, -120.143, 39.168, 6230, 5.15
UKIAH, COOP, Mendocino, -123.210, 39.147, 636, 5.13
VACAVILLE, COOP, Solano, -121.961, 38.396, 110, 3.97
