Monthly Data for October 2008 for California

Name, StationType, County, Longitude, Latitude, Elevation, TotalPrecipitation
BARSTOW-DAGGETT AIRPORT, WBAN, San Bernardino, -116.787, 34.854, 1919, T
MERCED, COOP, Merced, -120.516, 37.289, 154, 0.15
SAN DIEGO MONTGOMERY FIELD, WBAN, San Diego, -117.137, 32.815, 418, 0.06
SAN DIEGO INTERNATIONAL AP, WBAN, San Diego, -117.183, 32.734, 15, 0.18
SAN DIEGO MIRAMAR NAS, WBAN, San Diego, -117.133, 32.867, 477, 0.03
NORTH ISLAND NAS, WBAN, San Diego, -117.210, 32.692, 14, 0.14
SAN FRANCISCO INTERNATIONAL AP, WBAN, San Mateo, -122.366, 37.620, 10, 0.32
SAN LUIS OBISPO MCCHESNEY FIELD, WBAN, San Luis Obispo, -120.644, 35.238, 183, 0.22
CEDARVILLE, COOP, Modoc, -120.179, 41.530, 4688, 0.44
CHICO UNIVERSITY FARM, COOP, Butte, -121.821, 39.691, 185, 0.69
CHULA VISTA, COOP, San Diego, -117.086, 32.640, 56, 0.00
COLFAX, COOP, Placer, -120.947, 39.090, 2373, 1.32
CUYAMACA, COOP, San Diego, -116.587, 32.990, 4640, 0.18
DAVIS 2 WSW EXP FARM, COOP, Yolo, -121.776, 38.535, 60, 0.38
DEATH VALLEY NATIONAL PARK, WBAN, Inyo, -116.867, 36.463, -194, 0.15
FAIRMONT, COOP, Los Angeles, -118.430, 34.705, 3060, 0.09
FORT BRAGG 5 N, COOP, Mendocino, -123.756, 39.510, 123, 1.41
HANFORD 1 S, COOP, Kings, -119.637, 36.316, 237, 0.15
HAPPY CAMP RANGER STATION, COOP, Siskiyou, -123.375, 41.796, 1142, 0.27
HEALDSBURG, COOP, Sonoma, -122.866, 38.629, 177, 2.01
INDIO FIRE STATION, COOP, Riverside, -116.215, 33.709, -21, 0.00
LEMON COVE, COOP, Tulare, -119.026, 36.382, 513, 0.05
LIVERMORE, COOP, Alameda, -121.751, 37.682, 529, 0.33
LODI, COOP, San Joaquin, -121.288, 38.106, 40, 0.64
MERCED MUNICIPAL AP, WBAN, Merced, -120.518, 37.286, 152, 0.12
NAPA STATE HOSPITAL, COOP, Napa, -122.265, 38.278, 35, 0.59
OJAI, COOP, Ventura, -119.227, 34.448, 745, 0.10
ORLAND, COOP, Glenn, -122.200, 39.746, 254, 0.80
ORLEANS, COOP, Humboldt, -123.539, 41.302, 403, 1.97
PASADENA, COOP, Los Angeles, -118.145, 34.148, 864, 0.07
PASO ROBLES, COOP, San Luis Obispo, -120.685, 35.628, 730, 0.14
PETALUMA AIRPORT, COOP, Sonoma, -122.608, 38.258, 20, 0.54
QUINCY, COOP, Plumas, -120.947, 39.937, 3420, 2.28
REDLANDS, COOP, San Bernardino, -117.195, 34.037, 1410, 0.00
SANTA CRUZ, COOP, Santa Cruz, -122.000, 36.988, 70, 0.80
SANTA ROSA, COOP, Sonoma, -122.713, 38.456, 166, 0.78
TAHOE CITY, COOP, Placer, -120.143, 39.168, 6230, 1.09
UKIAH, COOP, Mendocino, -123.210, 39.147, 636, 1.22
VACAVILLE, COOP, Solano, -121.961, 38.396, 110, 0.50
WASCO, COOP, Kern, -119.352, 35.589, 291, 0.04
WEAVERVILLE, COOP, Trinity, -122.944, 40.735, 2058, 2.34
WILLOWS 6 W, COOP, Glenn, -122.305, 39.523, 234, 0.26
YOSEMITE PARK HEADQUARTERS, COOP, Mariposa, -119.590, 37.750, 4018, 0.85
YREKA, COOP, Siskiyou, -122.641, 41.703, 2709, 0.52
BERKELEY, COOP, Alameda, -122.260, 37.874, 310, 0.48
BLYTHE, COOP, Riverside, -114.598, 33.614, 268, 0.00
EUREKA WFO WOODLEY ISLAND, WBAN, Humboldt, -124.160, 40.810, 20, 0.93
INDEPENDENCE, WBAN, Inyo, -118.204, 36.798, 3950, 0.00
SAN LUIS OBISPO POLY, WBAN, San Luis Obispo, -120.662, 35.306, 308, 0.33
BURNEY, WBAN, Shasta, -121.655, 40.880, 3198, 0.60
IMPERIAL BEACH REAM FIELD NAS, WBAN, San Diego, -117.117, 32.568, 24, T
CAMPO, COOP, San Diego, -116.470, 32.626, 2630, T
CALEXICO 2 NE, COOP, Imperial, -115.464, 32.688, 12, 0.00
EL CENTRO 2 SSW, COOP, Imperial, -115.562, 32.767, -30, 0.00
IMPERIAL COUNTY AP, WBAN, Imperial, -115.577, 32.835, -55, 0.00
EL CENTRO NAF, WBAN, Imperial, -115.664, 32.832, -46, 0.00
ALPINE, COOP, San Diego, -116.777, 32.836, 1695, 0.00
DEEP CANYON LAB, COOP, Riverside, -116.376, 33.651, 1200, 0.00
ELSINORE, COOP, Riverside, -117.346, 33.686, 1268, 0.00
