Monthly Data for March 2016 for California

Name, StationType, County, Longitude, Latitude, Elevation, TotalPrecipitation
BARSTOW-DAGGETT AIRPORT, WBAN, San Bernardino, -116.787, 34.854, 1919, 0.12
MERCED, COOP, Merced, -120.516, 37.289, 154, 3.90
SAN DIEGO MONTGOMERY FIELD, WBAN, San Diego, -117.137, 32.815, 418, 1.08
SAN DIEGO INTERNATIONAL AP, WBAN, San Diego, -117.183, 32.734, 15, 0.76
SAN DIEGO MIRAMAR NAS, WBAN, San Diego, -117.133, 32.867, 477, 1.21
NORTH ISLAND NAS, WBAN, San Diego, -117.210, 32.692, 14, 0.87
SAN FRANCISCO INTERNATIONAL AP, WBAN, San Mateo, -122.366, 37.620, 10, 5.14
SAN LUIS OBISPO MCCHESNEY FIELD, WBAN, San Luis Obispo, -120.644, 35.238, 183, 3.95
CEDARVILLE, COOP, Modoc, -120.179, 41.530, 4688, 1.04
CHICO UNIVERSITY FARM, COOP, Butte, -121.821, 39.691, 185, 7.90
CHULA VISTA, COOP, San Diego, -117.086, 32.640, 56, 0.84
COLFAX, COOP, Placer, -120.947, 39.090, 2373, 13.69
CUYAMACA, COOP, San Diego, -116.587, 32.990, 4640, 2.56
DAVIS 2 WSW EXP FARM, COOP, Yolo, -121.776, 38.535, 60, 5.20
DEATH VALLEY NATIONAL PARK, WBAN, Inyo, -116.867, 36.463, -194, 0.01
FAIRMONT, COOP, Los Angeles, -118.430, 34.705, 3060, 2.61
FORT BRAGG 5 N, COOP, Mendocino, -123.756, 39.510, 123, 12.81
HANFORD 1 S, COOP, Kings, -119.637, 36.316, 237, 1.99
HAPPY CAMP RANGER STATION, COOP, Siskiyou, -123.375, 41.796, 1142, 11.95
INDIO FIRE STATION, COOP, Riverside, -116.215, 33.709, -21, 0.00
LEMON COVE, COOP, Tulare, -119.026, 36.382, 513, 3.04
LIVERMORE, COOP, Alameda, -121.751, 37.682, 529, 3.30
MERCED MUNICIPAL AP, WBAN, Merced, -120.518, 37.286, 152, 2.39
NAPA STATE HOSPITAL, COOP, Napa, -122.265, 38.278, 35, 8.36
OJAI, COOP, Ventura, -119.227, 34.448, 745, 2.94
ORLAND, COOP, Glenn, -122.200, 39.746, 254, 4.74
ORLEANS, COOP, Humboldt, -123.539, 41.302, 403, 12.24
PASADENA, COOP, Los Angeles, -118.145, 34.148, 864, 3.65
PASO ROBLES, COOP, San Luis Obispo, -120.685, 35.628, 730, 2.92
PETALUMA AIRPORT, COOP, Sonoma, -122.608, 38.258, 20, 6.63
QUINCY, COOP, Plumas, -120.947, 39.937, 3420, 18.26
REDLANDS, COOP, San Bernardino, -117.195, 34.037, 1410, 1.41
SANTA BARBARA, COOP, Santa Barbara, -119.684, 34.417, 16, 3.01
SANTA CRUZ, COOP, Santa Cruz, -122.000, 36.988, 70, 7.65
TAHOE CITY, COOP, Placer, -120.143, 39.168, 6230, 6.90
WASCO, COOP, Kern, -119.352, 35.589, 291, 0.75
WEAVERVILLE, COOP, Trinity, -122.944, 40.735, 2058, 10.17
WILLOWS 6 W, COOP, Glenn, -122.305, 39.523, 234, 4.53
YOSEMITE PARK HEADQUARTERS, COOP, Mariposa, -119.590, 37.750, 4018, 7.45
YREKA, COOP, Siskiyou, -122.641, 41.703, 2709, 4.30
BERKELEY, COOP, Alameda, -122.260, 37.874, 310, 7.93
BLYTHE, COOP, Riverside, -114.598, 33.614, 268, 0.00
EUREKA WFO WOODLEY ISLAND, WBAN, Humboldt, -124.160, 40.810, 20, 8.11
INDEPENDENCE, WBAN, Inyo, -118.204, 36.798, 3950, 0.22
SAN LUIS OBISPO POLY, WBAN, San Luis Obispo, -120.662, 35.306, 308, 5.84
IMPERIAL BEACH REAM FIELD NAS, WBAN, San Diego, -117.117, 32.568, 24, 1.16
CAMPO, COOP, San Diego, -116.470, 32.626, 2630, 1.05
EL CENTRO 2 SSW, COOP, Imperial, -115.562, 32.767, -30, 0.00
IMPERIAL COUNTY AP, WBAN, Imperial, -115.577, 32.835, -55, T
EL CENTRO NAF, WBAN, Imperial, -115.664, 32.832, -46, T
ALPINE, COOP, San Diego, -116.777, 32.836, 1695, 1.53
EL CAPITAN DAM, COOP, San Diego, -116.815, 32.886, 600, 1.88
LAKESIDE 2 E, COOP, San Diego, -116.895, 32.854, 690, 1.45
POWAY VALLEY, COOP, San Diego, -117.031, 33.020, 648, 1.17
JULIAN CDF, COOP, San Diego, -116.592, 33.076, 4215, 1.98
CARLSBAD MCCLELLAN PALOMAR AP, WBAN, San Diego, -117.277, 33.130, 313, 1.01
HENSHAW DAM, COOP, San Diego, -116.761, 33.237, 2700, 2.76
VISTA, COOP, San Diego, -117.232, 33.235, 430, 1.80
OCEANSIDE MARINA, COOP, San Diego, -117.395, 33.210, 10, 0.97
NILAND, COOP, Imperial, -115.524, 33.278, -60, 0.00
BORREGO DESERT PARK, COOP, San Diego, -116.404, 33.256, 810, 0.32
PALOMAR MTN OBSERVATORY, COOP, San Diego, -116.840, 33.378, 5550, 2.47
MECCA FIRE STATION, COOP, Riverside, -116.073, 33.570, -183, 0.00
LAGUNA BEACH, COOP, Orange, -117.781, 33.545, 44, 0.00
BLYTHE ASOS, WBAN, Riverside, -114.715, 33.619, 395, T
DESERT RESORTS REGIONAL AP, WBAN, Riverside, -116.164, 33.632, -118, T
DEEP CANYON LAB, COOP, Riverside, -116.376, 33.651, 1200, 0.02
ELSINORE, COOP, Riverside, -117.346, 33.686, 1268, 0.74
SANTA ANA JOHN WAYNE AP, WBAN, Orange, -117.867, 33.680, 43, 1.11
HAYFIELD PUMPING PLANT, COOP, Riverside, -115.629, 33.704, 1370, 0.05
IDYLLWILD FIRE DEPT, COOP, Riverside, -116.707, 33.757, 5380, 2.28
SAN JACINTO, COOP, Riverside, -116.975, 33.797, 1525, 1.14
HEMET, COOP, Riverside, -116.894, 33.738, 1811, 0.41
SANTA ANA FIRE STATION, COOP, Orange, -117.867, 33.744, 135, 0.97
EAGLE MOUNTAIN, COOP, Riverside, -115.451, 33.808, 973, 0.00
PALM SPRINGS, COOP, Riverside, -116.510, 33.828, 425, T
LONG BEACH DAUGHERTY AP, WBAN, Los Angeles, -118.147, 33.812, 34, 0.92
PALOS VERDES ES FC43D, COOP, Los Angeles, -118.391, 33.800, 220, 1.62
FULLERTON MUNICIPAL AP, WBAN, Orange, -117.986, 33.872, 86, 0.92
BEAUMONT #2, WBAN, Riverside, -116.990, 33.926, 2591, 1.61
MARCH AFB, WBAN, Riverside, -117.250, 33.900, 1536, 0.56
YORBA LINDA, COOP, Orange, -117.819, 33.890, 350, 1.33
HAWTHORNE MUNICIPAL AP, WBAN, Los Angeles, -118.333, 33.924, 55, 1.52
LOS ANGELES INTL AP, WBAN, Los Angeles, -118.387, 33.938, 97, 1.46
RIVERSIDE FIRE STATION 3, COOP, Riverside, -117.388, 33.951, 840, 0.82
RIVERSIDE MUNICIPAL AP, WBAN, Riverside, -117.435, 33.953, 845, 0.78
CHINO AP, WBAN, San Bernardino, -117.625, 33.976, 636, 1.00
CULVER CITY, COOP, Los Angeles, -118.414, 34.005, 92, 1.91
SANTA MONICA MUNICIPAL AP, WBAN, Los Angeles, -118.447, 34.021, 175, 1.93
SANTA MONICA PIER, COOP, Los Angeles, -118.500, 34.008, 14, 0.00
ONTARIO INTL AP, WBAN, San Bernardino, -117.577, 34.053, 924, 1.41
POMONA/FAIRPLEX, COOP, Los Angeles, -117.766, 34.082, 999, 1.64
COVINA CITY YARD FC387B, COOP, Los Angeles, -117.880, 34.092, 607, 1.99
U C L A, COOP, Los Angeles, -118.443, 34.070, 430, 2.23
IRON MOUNTAIN, COOP, San Bernardino, -115.122, 34.147, 922, 0.00
TWENTYNINE PALMS, COOP, San Bernardino, -116.037, 34.128, 1975, 0.03
JOSHUA TREE, COOP, San Bernardino, -116.275, 34.147, 2563, 0.03
SAN GABRIEL FIRE DEPT, COOP, Los Angeles, -118.100, 34.084, 363, 1.32
POINT MUGU NF, WBAN, Ventura, -119.123, 34.124, 12, 0.09
ALTADENA, COOP, Los Angeles, -118.138, 34.182, 1127, 2.81
SAN GABRIEL CANYON PH, COOP, Los Angeles, -117.908, 34.155, 744, 2.67
WOODLAND HILLS PIERCE COLLEGE, COOP, Los Angeles, -118.574, 34.182, 790, 1.64
SAN GABRIEL DAM FC425B-E, COOP, Los Angeles, -117.861, 34.205, 1481, 2.82
MT WILSON CBS, COOP, Los Angeles, -118.071, 34.231, 5710, 4.59
VAN NUYS AP, WBAN, Los Angeles, -118.491, 34.212, 785, 1.71
CAMARILLO AP, WBAN, Ventura, -119.088, 34.211, 71, 1.91
OXNARD VENTURA COUNTY AP, WBAN, Ventura, -119.204, 34.200, 39, 2.18
PARKER RESRVOIR, COOP, San Bernardino, -114.171, 34.290, 738, 0.05
TWENTYNINE PALMS MC, WBAN, San Bernardino, -116.147, 34.294, 2003, 0.04
BIG BEAR LAKE, COOP, San Bernardino, -116.917, 34.243, 6753, 2.20
CHATSWORTH FC 24 F, COOP, Los Angeles, -118.600, 34.250, 950, 0.89
BIG TUJUNGA DAM FC46, COOP, Los Angeles, -118.188, 34.295, 2326, 3.19
PACOIMA DAM FC33A-E, COOP, Los Angeles, -118.400, 34.329, 1550, 2.27
PIRU 2 ESE, COOP, Ventura, -118.757, 34.406, 712, 2.01
SANTA BARBARA MUNI AP, WBAN, Santa Barbara, -119.842, 34.424, 8, 2.51
JUNCAL DAM, COOP, Santa Barbara, -119.507, 34.491, 2260, 4.36
VICTORVILLE, COOP, San Bernardino, -117.293, 34.529, 2880, 0.56
GIBRALTAR DAM NO. 2, COOP, Santa Barbara, -119.682, 34.523, 1558, 4.22
AMBOY, COOP, San Bernardino, -115.744, 34.559, 648, 0.07
PALMDALE, COOP, Los Angeles, -118.094, 34.588, 2612, 1.40
SAUGUS POWER PLANT 1, COOP, Los Angeles, -118.454, 34.590, 2161, 3.04
LOS PRIETOS RS, COOP, Santa Barbara, -119.791, 34.544, 1024, 4.07
CACHUMA LAKE, COOP, Santa Barbara, -119.982, 34.582, 789, 3.02
SALSIPUEDES GAGING STATION, COOP, Santa Barbara, -120.408, 34.585, 254, 3.47
PALMDALE AP, WBAN, Los Angeles, -118.083, 34.629, 2509, 0.83
LOMPOC, COOP, Santa Barbara, -120.451, 34.654, 75, 2.62
LOMPOC AP, WBAN, Santa Barbara, -120.467, 34.667, 88, 2.22
LANCASTER, WBAN, Los Angeles, -118.213, 34.741, 2338, 0.62
SANDBERG, WBAN, Los Angeles, -118.725, 34.744, 4510, 1.17
LEBEC, WBAN, Kern, -118.865, 34.833, 3575, 2.12
NEW CUYAMA FIRE STATION, COOP, Santa Barbara, -119.683, 34.946, 2160, 0.89
TWITCHELL DAM, COOP, Santa Barbara, -120.321, 34.988, 582, 3.97
BORON, COOP, Kern, -117.650, 35.004, 2450, 0.53
MOJAVE, COOP, Kern, -118.162, 35.049, 2735, 0.40
PISMO BEACH, COOP, San Luis Obispo, -120.683, 35.160, 39, 2.31
TAFT, COOP, Kern, -119.430, 35.150, 773, 0.51
SALINAS DAM, COOP, San Luis Obispo, -120.504, 35.337, 1392, 5.05
