Monthly Data for December 2021 for California

Name, StationType, County, Longitude, Latitude, Elevation, TotalPrecipitation
IMPERIAL, COOP, Imperial, -115.567, 32.849, -64, 0.19
EL CAPITAN DAM, COOP, San Diego, -116.815, 32.886, 600, 5.39
LAKESIDE 2 E, COOP, San Diego, -116.895, 32.854, 690, 3.68
POWAY VALLEY, COOP, San Diego, -117.031, 33.020, 648, 3.84
JULIAN CDF, COOP, San Diego, -116.592, 33.076, 4215, 10.37
CARLSBAD MCCLELLAN PALOMAR AP, WBAN, San Diego, -117.277, 33.130, 313, 3.21
HENSHAW DAM, COOP, San Diego, -116.761, 33.237, 2700, 7.73
VISTA, COOP, San Diego, -117.232, 33.235, 430, 4.44
OCEANSIDE MARINA, COOP, San Diego, -117.395, 33.210, 10, 3.42
BORREGO DESERT PARK, COOP, San Diego, -116.404, 33.256, 810, 0.96
PALOMAR MTN OBSERVATORY, COOP, San Diego, -116.840, 33.378, 5550, 10.31
MECCA FIRE STATION, COOP, Riverside, -116.073, 33.570, -183, 0.08
BLYTHE ASOS, WBAN, Riverside, -114.715, 33.619, 395, 0.17
DESERT RESORTS REGIONAL AP, WBAN, Riverside, -116.164, 33.632, -118, 0.13
DEEP CANYON LAB, COOP, Riverside, -116.376, 33.651, 1200, 0.99
ELSINORE, COOP, Riverside, -117.346, 33.686, 1268, 4.00
SANTA ANA JOHN WAYNE AP, WBAN, Orange, -117.867, 33.680, 43, 4.79
HAYFIELD PUMPING PLANT, COOP, Riverside, -115.629, 33.704, 1370, 0.47
IDYLLWILD FIRE DEPT, COOP, Riverside, -116.707, 33.757, 5380, 9.08
SAN JACINTO, COOP, Riverside, -116.975, 33.797, 1525, 4.51
HEMET, COOP, Riverside, -116.894, 33.738, 1811, 2.85
SANTA ANA FIRE STATION, COOP, Orange, -117.867, 33.744, 135, 6.12
EAGLE MOUNTAIN, COOP, Riverside, -115.451, 33.808, 973, 0.08
PALM SPRINGS, COOP, Riverside, -116.510, 33.828, 425, 1.62
LONG BEACH DAUGHERTY AP, WBAN, Los Angeles, -118.147, 33.812, 34, 5.74
