Data for February 1, 2024 through February 2, 2024

Name, StationType, County, Longitude, Latitude, Elevation, TotalPrecipitation
HENSHAW DAM, COOP, San Diego, -116.761, 33.237, 2700, 0.02
PALOMAR MTN OBSERVATORY, COOP, San Diego, -116.840, 33.378, 5550, 2.72
HAYFIELD PUMPING PLANT, COOP, Riverside, -115.629, 33.704, 1370, 0.00
EAGLE MOUNTAIN, COOP, Riverside, -115.451, 33.808, 973, 0.00
CULVER CITY, COOP, Los Angeles, -118.414, 34.005, 92, 1.90
SAN GABRIEL CANYON PH, COOP, Los Angeles, -117.908, 34.155, 744, 0.99
BIG BEAR LAKE, COOP, San Bernardino, -116.917, 34.243, 6753, 0.94
PIRU 2 ESE, COOP, Ventura, -118.757, 34.406, 712, 1.52
SAUGUS POWER PLANT 1, COOP, Los Angeles, -118.454, 34.590, 2161, 1.10
CACHUMA LAKE, COOP, Santa Barbara, -119.982, 34.582, 789, 2.42
TRONA, COOP, San Bernardino, -117.391, 35.764, 1695, 0.02
PINNACLES NATIONAL PARK, COOP, San Benito, -121.182, 36.482, 1307, 1.03
GRANT GROVE, COOP, Tulare, -118.962, 36.738, 6580, 0.03
KETTLEMAN CITY, COOP, Kings, -119.960, 36.007, 240, 0.26
KING CITY, COOP, Monterey, -121.138, 36.207, 320, 1.00
BIG SUR STATION, COOP, Monterey, -121.780, 36.247, 200, 1.58
VISALIA, COOP, Tulare, -119.300, 36.328, 303, 0.18
MERCED, COOP, Merced, -120.516, 37.289, 154, 0.53
CEDARVILLE, COOP, Modoc, -120.179, 41.530, 4688, 0.04
DAVIS 2 WSW EXP FARM, COOP, Yolo, -121.776, 38.535, 60, 1.24
FORT BRAGG 5 N, COOP, Mendocino, -123.756, 39.510, 123, 0.71
HAPPY CAMP RANGER STATION, COOP, Siskiyou, -123.375, 41.796, 1142, 0.99
LEMON COVE, COOP, Tulare, -119.026, 36.382, 513, 0.15
NAPA STATE HOSPITAL, COOP, Napa, -122.265, 38.278, 35, 1.49
OJAI, COOP, Ventura, -119.227, 34.448, 745, 1.93
ORLAND, COOP, Glenn, -122.200, 39.746, 254, 1.63
PETALUMA AIRPORT, COOP, Sonoma, -122.608, 38.258, 20, 1.80
QUINCY, COOP, Plumas, -120.947, 39.937, 3420, 1.22
REDLANDS, COOP, San Bernardino, -117.195, 34.037, 1410, 0.79
SANTA BARBARA, COOP, Santa Barbara, -119.684, 34.417, 16, 2.98
SANTA ROSA, COOP, Sonoma, -122.713, 38.456, 166, 1.31
TAHOE CITY, COOP, Placer, -120.143, 39.168, 6230, 0.33
WASCO, COOP, Kern, -119.352, 35.589, 291, 0.27
YREKA, COOP, Siskiyou, -122.641, 41.703, 2709, 0.01
CAMPO, COOP, San Diego, -116.470, 32.626, 2630, 0.58
EL CENTRO 2 SSW, COOP, Imperial, -115.562, 32.767, -30, 0.00
TRACY PUMPING PLANT, COOP, Alameda, -121.583, 37.796, 61, 0.48
LOS BANOS, COOP, Merced, -120.867, 37.056, 120, 0.45
BEN LOMOND NO. 4, COOP, Santa Cruz, -122.080, 37.086, 420, 2.50
ASPENDELL, COOP, Inyo, -118.599, 37.232, 8470, 0.51
NORTH FORK RS, COOP, Madera, -119.510, 37.233, 2645, 0.80
HALF MOON BAY, COOP, San Mateo, -122.443, 37.473, 27, 0.88
RICHMOND, COOP, Contra Costa, -122.377, 37.919, 20, 1.73
KENTFIELD, COOP, Marin, -122.545, 37.957, 145, 3.11
SAN ANDREAS 2, COOP, Calaveras, -120.671, 38.191, 1100, 0.50
FAIRFIELD, COOP, Solano, -122.068, 38.274, 40, 0.20
SUTTER HILL CDF, COOP, Amador, -120.801, 38.377, 1586, 0.92
FIDDLETOWN DEXTER RCH, COOP, Amador, -120.698, 38.525, 2170, 1.60
WINTERS, WBAN, Yolo, -121.978, 38.525, 135, 1.83
LAKE SOLANO, COOP, Solano, -122.004, 38.492, 187, 2.04
CLOVERDALE, COOP, Sonoma, -123.026, 38.793, 400, 3.02
FORESTHILL RANGER STATION, COOP, Placer, -120.845, 39.010, 3015, 1.08
PORTOLA, COOP, Plumas, -120.472, 39.805, 4850, 0.20
GRASS VALLEY NO. 2, COOP, Nevada, -121.068, 39.204, 2400, 1.46
NEVADA CITY, COOP, Nevada, -121.001, 39.247, 2781, 1.50
TRUCKEE AIRPORT, WBAN, Nevada, -120.139, 39.320, 5900, 0.22
BOCA, COOP, Nevada, -120.094, 39.389, 5575, 0.24
POTTER VALLEY POWERHOUSE, COOP, Mendocino, -123.129, 39.362, 1018, 1.69
STRAWBERRY VALLEY 2, COOP, Yuba, -121.161, 39.532, 3710, 1.67
STONY GORGE RESERVOIR, COOP, Glenn, -122.534, 39.586, 800, 1.91
