Data for March 1, 2025 through March 6, 2025

Name, StationType, County, Longitude, Latitude, Elevation, TotalPrecipitation
CARLSBAD MCCLELLAN PALOMAR AP, WBAN, San Diego, -117.277, 33.130, 313, 0.01
HENSHAW DAM, COOP, San Diego, -116.761, 33.237, 2700, 0.60
BORREGO DESERT PARK, COOP, San Diego, -116.404, 33.256, 810, 0.00
PALOMAR MTN OBSERVATORY, COOP, San Diego, -116.840, 33.378, 5550, 0.67
BLYTHE ASOS, WBAN, Riverside, -114.715, 33.619, 395, 0.00
DESERT RESORTS REGIONAL AP, WBAN, Riverside, -116.164, 33.632, -118, 0.00
BARSTOW-DAGGETT AIRPORT, WBAN, San Bernardino, -116.787, 34.854, 1919, 0.02
MERCED, COOP, Merced, -120.516, 37.289, 154, 1.25
SAN DIEGO MONTGOMERY FIELD, WBAN, San Diego, -117.137, 32.815, 418, 0.03
SAN DIEGO INTERNATIONAL AP, WBAN, San Diego, -117.183, 32.734, 15, 0.07
NORTH ISLAND NAS, WBAN, San Diego, -117.210, 32.692, 14, 0.02
SAN FRANCISCO INTERNATIONAL AP, WBAN, San Mateo, -122.366, 37.620, 10, 0.15
SAN LUIS OBISPO MCCHESNEY FIELD, WBAN, San Luis Obispo, -120.644, 35.238, 183, 0.03
CEDARVILLE, COOP, Modoc, -120.179, 41.530, 4688, 0.04
DAVIS 2 WSW EXP FARM, COOP, Yolo, -121.776, 38.535, 60, 0.00
DEATH VALLEY NATIONAL PARK, WBAN, Inyo, -116.867, 36.463, -194, 0.00
FORT BRAGG 5 N, COOP, Mendocino, -123.756, 39.510, 123, 0.53
HANFORD 1 S, COOP, Kings, -119.637, 36.316, 237, 0.29
HAPPY CAMP RANGER STATION, COOP, Siskiyou, -123.375, 41.796, 1142, 0.02
HEALDSBURG, COOP, Sonoma, -122.866, 38.629, 177, 0.01
LEMON COVE, COOP, Tulare, -119.026, 36.382, 513, 0.58
MERCED MUNICIPAL AP, WBAN, Merced, -120.518, 37.286, 152, 0.78
NAPA STATE HOSPITAL, COOP, Napa, -122.265, 38.278, 35, 0.00
OJAI, COOP, Ventura, -119.227, 34.448, 745, 0.00
ORLAND, COOP, Glenn, -122.200, 39.746, 254, 0.10
ORLEANS, COOP, Humboldt, -123.539, 41.302, 403, 0.17
PASO ROBLES, COOP, San Luis Obispo, -120.685, 35.628, 730, 0.07
PETALUMA AIRPORT, COOP, Sonoma, -122.608, 38.258, 20, 0.08
QUINCY, COOP, Plumas, -120.947, 39.937, 3420, 0.33
REDLANDS, COOP, San Bernardino, -117.195, 34.037, 1410, 0.41
SANTA BARBARA, COOP, Santa Barbara, -119.684, 34.417, 16, 0.18
SANTA ROSA, COOP, Sonoma, -122.713, 38.456, 166, 0.02
TAHOE CITY, COOP, Placer, -120.143, 39.168, 6230, 0.13
WASCO, COOP, Kern, -119.352, 35.589, 291, 0.30
WILLOWS 6 W, COOP, Glenn, -122.305, 39.523, 234, 0.08
YREKA, COOP, Siskiyou, -122.642, 41.702, 2712, 0.14
EUREKA WFO WOODLEY ISLAND, WBAN, Humboldt, -124.160, 40.810, 20, 1.24
CAMPO, COOP, San Diego, -116.470, 32.626, 2630, 0.40
EL CENTRO 2 SSW, COOP, Imperial, -115.566, 32.767, -30, 0.00
IMPERIAL COUNTY AP, WBAN, Imperial, -115.577, 32.835, -55, 0.00
EL CENTRO NAF, WBAN, Imperial, -115.664, 32.832, -46, T
SANTA ANA JOHN WAYNE AP, WBAN, Orange, -117.867, 33.680, 43, T
HAYFIELD PUMPING PLANT, COOP, Riverside, -115.629, 33.704, 1370, 0.00
EAGLE MOUNTAIN, COOP, Riverside, -115.451, 33.808, 973, 0.00
LONG BEACH DAUGHERTY AP, WBAN, Los Angeles, -118.147, 33.812, 34, 0.00
FULLERTON MUNICIPAL AP, WBAN, Orange, -117.986, 33.872, 86, 0.00
MARCH AFB, WBAN, Riverside, -117.250, 33.900, 1536, T
HAWTHORNE MUNICIPAL AP, WBAN, Los Angeles, -118.333, 33.924, 55, 0.00
LOS ANGELES INTL AP, WBAN, Los Angeles, -118.387, 33.938, 97, T
RIVERSIDE MUNICIPAL AP, WBAN, Riverside, -117.435, 33.953, 845, T
CHINO AP, WBAN, San Bernardino, -117.625, 33.976, 636, 0.01
CULVER CITY, COOP, Los Angeles, -118.414, 34.005, 92, 0.00
SANTA MONICA MUNICIPAL AP, WBAN, Los Angeles, -118.447, 34.021, 175, T
ONTARIO INTL AP, WBAN, San Bernardino, -117.577, 34.053, 924, 0.03
U C L A, COOP, Los Angeles, -118.443, 34.070, 430, T
JOSHUA TREE, COOP, San Bernardino, -116.275, 34.147, 2563, T
SAN GABRIEL CANYON PH, COOP, Los Angeles, -117.908, 34.155, 744, 0.04
WOODLAND HILLS PIERCE COLLEGE, COOP, Los Angeles, -118.574, 34.182, 790, 0.02
VAN NUYS AP, WBAN, Los Angeles, -118.491, 34.212, 785, T
CAMARILLO AP, WBAN, Ventura, -119.088, 34.211, 71, 0.00
OXNARD VENTURA COUNTY AP, WBAN, Ventura, -119.204, 34.200, 39, 0.00
BIG BEAR LAKE, COOP, San Bernardino, -116.917, 34.243, 6753, 0.38
PIRU 2 ESE, COOP, Ventura, -118.757, 34.406, 712, 0.04
SANTA BARBARA MUNI AP, WBAN, Santa Barbara, -119.842, 34.424, 8, T
JUNCAL DAM, COOP, Santa Barbara, -119.507, 34.491, 2260, 0.03
SAUGUS POWER PLANT 1, COOP, Los Angeles, -118.454, 34.590, 2161, 0.16
CACHUMA LAKE, COOP, Santa Barbara, -119.982, 34.582, 789, 0.20
PALMDALE AP, WBAN, Los Angeles, -118.083, 34.629, 2509, 0.14
LANCASTER, WBAN, Los Angeles, -118.213, 34.741, 2338, 0.40
SANDBERG, WBAN, Los Angeles, -118.725, 34.744, 4510, 0.16
NEW CUYAMA FIRE STATION, COOP, Santa Barbara, -119.683, 34.946, 2160, 0.02
BAKERSFIELD AP, WBAN, Kern, -119.055, 35.434, 490, 0.13
TRONA, COOP, San Bernardino, -117.391, 35.764, 1695, 0.00
PORTERVILLE MUNICIPAL AIRPORT, WBAN, Tulare, -119.062, 36.029, 442, 0.49
KETTLEMAN CITY, COOP, Kings, -119.960, 36.007, 240, 0.15
KING CITY, COOP, Monterey, -121.138, 36.207, 320, 0.07
LINDSAY, COOP, Tulare, -119.054, 36.203, 435, 0.61
BIG SUR STATION, COOP, Monterey, -121.780, 36.247, 200, 0.41
VISALIA, COOP, Tulare, -119.300, 36.328, 303, 0.34
MONTEREY, COOP, Monterey, -121.855, 36.593, 122, 0.48
SALINAS AP, WBAN, Monterey, -121.609, 36.664, 73, 0.18
GRANT GROVE, COOP, Tulare, -118.962, 36.738, 6580, 0.70
WATSONVILLE WATERWORKS, COOP, Santa Cruz, -121.769, 36.931, 95, 0.33
FRIANT GOVERNMENT CAMP, COOP, Fresno, -119.707, 36.996, 430, 0.71
LOS BANOS, COOP, Merced, -120.867, 37.056, 120, 0.21
BEN LOMOND NO. 4, COOP, Santa Cruz, -122.082, 37.087, 435, 0.57
MOUNT HAMILTON, WBAN, Santa Clara, -121.635, 37.343, 4220, 0.94
BISHOP AIRPORT, WBAN, Inyo, -118.359, 37.371, 4110, 0.00
REDWOOD CITY, COOP, San Mateo, -122.239, 37.477, 31, 0.21
HALF MOON BAY, COOP, San Mateo, -122.443, 37.473, 27, 0.18
MODESTO AP, WBAN, Stanislaus, -120.955, 37.625, 87, 0.15
HAYWARD AIR TERMINAL, WBAN, Alameda, -122.121, 37.659, 31, 0.16
LIVERMORE MUNICIPAL AP, WBAN, Alameda, -121.815, 37.693, 393, 0.17
OAKLAND INTERNATIONAL AIRPORT, WBAN, Alameda, -122.233, 37.718, 5, 0.16
SAN FRANCISCO DOWNTOWN, WBAN, San Francisco, -122.427, 37.771, 150, 0.15
TRACY PUMPING PLANT, COOP, Alameda, -121.583, 37.796, 61, 0.01
OAKLAND MUSEUM, COOP, Alameda, -122.264, 37.798, 30, 0.06
TUOLUMNE MEADOWS R.S., COOP, Tuolumne, -119.344, 37.877, 8694, 0.45
STOCKTON AP, WBAN, San Joaquin, -121.226, 37.890, 27, 0.03
RICHMOND, COOP, Contra Costa, -122.377, 37.919, 20, 0.00
SONORA, COOP, Tuolumne, -120.387, 37.967, 1675, 1.29
CONCORD BUCHANAN FIELD, WBAN, Contra Costa, -122.053, 37.992, 23, T
SAN RAFAEL-CIVIC CENTER, COOP, Marin, -122.537, 37.998, 120, 0.05
KENTFIELD, COOP, Marin, -122.545, 37.957, 145, 0.11
SAN ANDREAS 2, COOP, Calaveras, -120.671, 38.191, 1100, 0.85
NAPA COUNTY AIRPORT, WBAN, Napa, -122.280, 38.208, 16, T
FIDDLETOWN DEXTER RCH, COOP, Amador, -120.698, 38.525, 2170, 0.50
SACRAMENTO AP ASOS, WBAN, Sacramento, -121.496, 38.507, 19, 0.03
WINTERS, WBAN, Yolo, -121.978, 38.525, 135, T
LAKE SOLANO, COOP, Solano, -122.004, 38.492, 187, 0.00
SACRAMENTO 5 ESE, WBAN, Sacramento, -121.418, 38.555, 38, 0.20
SACRAMENTO METROPOLITAN AP, WBAN, Sacramento, -121.595, 38.701, 24, 0.04
MIDDLETOWN, COOP, Lake, -122.626, 38.748, 1121, 0.81
CLOVERDALE, COOP, Sonoma, -123.026, 38.793, 400, 0.05
SOUTH LAKE TAHOE AP, WBAN, El Dorado, -119.996, 38.898, 6257, 0.02
AUBURN, COOP, Placer, -121.084, 38.907, 1292, 0.00
FORESTHILL RANGER STATION, COOP, Placer, -120.845, 39.010, 3015, 1.75
MARYSVILLE AIRPORT (ASOS), WBAN, Yuba, -121.569, 39.102, 62, 0.10
UKIAH MUNICIPAL AP, WBAN, Mendocino, -123.200, 39.128, 603, 0.10
PORTOLA, COOP, Plumas, -120.472, 39.805, 4850, T
ADIN RANGER STATION, COOP, Modoc, -120.945, 41.193, 4202, 0.22
DUNSMUIR TREATMENT PL, COOP, Siskiyou, -122.282, 41.183, 2169, 0.22
JESS VALLEY, COOP, Modoc, -120.298, 41.271, 5319, 0.05
FORT JONES RS, COOP, Siskiyou, -122.848, 41.601, 2729, T
CRESCENT CITY MCNAMARA AP, WBAN, Del Norte, -124.238, 41.784, 56, 1.49
GASQUET RS, COOP, Del Norte, -123.967, 41.846, 387, 0.20
BARSTOW, COOP, San Bernardino, -117.022, 34.893, 2220, 0.00
MARKLEY COVE, COOP, Napa, -122.124, 38.492, 480, 0.00
COLEMAN FISHERIES STATION, COOP, Shasta, -122.143, 40.400, 420, 1.31
WHISKEYTOWN RESERVOIR, COOP, Shasta, -122.528, 40.612, 1295, 0.05
SHASTA DAM, COOP, Shasta, -122.416, 40.714, 1075, 0.57
LORAINE 5 NNE, COOP, Kern, -118.412, 35.384, 4235, 0.00
LEE VINING, COOP, Mono, -119.119, 37.957, 6797, T
NEW MELONES DAM HQ, COOP, Tuolumne, -120.486, 38.005, 960, 0.99
FREMONT, COOP, Alameda, -122.016, 37.542, 38, 0.20
BISHOP, COOP, Inyo, -118.367, 37.371, 4106, 0.00
TEHACHAPI 4 SE, COOP, Kern, -118.422, 35.101, 4220, T
VALLEJO, COOP, Solano, -122.187, 38.100, 341, 0.00
OXNARD WFO, COOP, Ventura, -119.137, 34.207, 52, 0.00
HANFORD MUNICIPAL AP, WBAN, Kings, -119.623, 36.311, 249, 0.37
RAMONA AIRPORT, WBAN, San Diego, -116.916, 33.038, 1385, 0.31
VACAVILLE/NUT TREE AP ASOS, WBAN, Solano, -121.959, 38.378, 104, 0.00
ALTURAS MUNICIPAL AP, WBAN, Modoc, -120.561, 41.484, 4383, 0.11
MADERA MUNICIPAL AP, WBAN, Madera, -120.111, 36.985, 251, 0.16
BAKERSFIELD 5 NW, COOP, Kern, -119.051, 35.419, 470, 0.13
FRESNO 5 NE, COOP, Fresno, -119.709, 36.767, 338, 0.74
OCEANSIDE MUNICIPAL AP, WBAN, San Diego, -117.350, 33.219, 30, T
ARCATA EUREKA AP, WBAN, Humboldt, -124.105, 40.978, 211, 1.20
NEWPORT BEACH HARBOR, WBAN, Orange, -117.884, 33.603, 10, 0.00
REDDING AP, WBAN, Shasta, -122.298, 40.515, 501, 0.96
AVALON CATALINA AP, WBAN, Los Angeles, -118.415, 33.404, 1565, 0.00
