Data for April 1, 2026 through April 2, 2026

Name, StationType, County, Longitude, Latitude, Elevation, TotalPrecipitation
DAVIS 2 WSW EXP FARM, COOP, Yolo, -121.776, 38.535, 60, 0.25
FORT BRAGG 5 N, COOP, Mendocino, -123.756, 39.510, 123, 0.31
HANFORD 1 S, COOP, Kings, -119.637, 36.316, 237, 0.20
LEMON COVE, COOP, Tulare, -119.026, 36.382, 513, 0.09
NAPA STATE HOSPITAL, COOP, Napa, -122.265, 38.278, 35, 0.19
OJAI, COOP, Ventura, -119.227, 34.448, 745, 0.29
QUINCY, COOP, Plumas, -120.947, 39.937, 3420, 0.80
REDLANDS, COOP, San Bernardino, -117.195, 34.037, 1410, 0.40
SANTA ROSA, COOP, Sonoma, -122.713, 38.456, 166, 0.16
TAHOE CITY, COOP, Placer, -120.143, 39.168, 6230, 1.24
WASCO, COOP, Kern, -119.352, 35.589, 291, 0.00
YREKA, COOP, Siskiyou, -122.642, 41.702, 2712, 0.02
CAMPO, COOP, San Diego, -116.470, 32.626, 2630, 0.00
EL CENTRO 2 SSW, COOP, Imperial, -115.566, 32.767, -30, 0.00
HENSHAW DAM, COOP, San Diego, -116.761, 33.237, 2700, 0.06
BORREGO DESERT PARK, COOP, San Diego, -116.404, 33.256, 810, 0.00
PALOMAR MTN OBSERVATORY, COOP, San Diego, -116.840, 33.378, 5550, 0.11
EAGLE MOUNTAIN, COOP, Riverside, -115.451, 33.808, 973, 0.01
CULVER CITY, COOP, Los Angeles, -118.414, 34.005, 92, 0.19
SAN GABRIEL FIRE DEPT, COOP, Los Angeles, -118.100, 34.084, 363, 0.30
BIG BEAR LAKE, COOP, San Bernardino, -116.917, 34.243, 6753, 0.57
PIRU 2 ESE, COOP, Ventura, -118.757, 34.406, 712, 0.40
SAUGUS POWER PLANT 1, COOP, Los Angeles, -118.454, 34.590, 2161, 0.45
CACHUMA LAKE, COOP, Santa Barbara, -119.982, 34.582, 789, 0.07
TRONA, COOP, San Bernardino, -117.391, 35.764, 1695, 0.00
KETTLEMAN CITY, COOP, Kings, -119.960, 36.007, 240, 0.00
KING CITY, COOP, Monterey, -121.138, 36.207, 320, 0.07
BIG SUR STATION, COOP, Monterey, -121.780, 36.247, 200, 0.04
VISALIA, COOP, Tulare, -119.300, 36.328, 303, 0.06
ASH MOUNTAIN, COOP, Tulare, -118.825, 36.491, 1708, 0.10
FRIANT GOVERNMENT CAMP, COOP, Fresno, -119.707, 36.996, 430, 0.04
LOS BANOS, COOP, Merced, -120.867, 37.056, 120, T
BEN LOMOND NO. 4, COOP, Santa Cruz, -122.082, 37.087, 435, 0.20
NORTH FORK RS, COOP, Madera, -119.510, 37.233, 2645, 0.10
HALF MOON BAY, COOP, San Mateo, -122.443, 37.473, 27, 0.34
TRACY PUMPING PLANT, COOP, Alameda, -121.583, 37.796, 61, 0.07
TUOLUMNE MEADOWS R.S., COOP, Tuolumne, -119.344, 37.877, 8694, 0.39
RICHMOND, COOP, Contra Costa, -122.377, 37.919, 20, 0.15
SONORA, COOP, Tuolumne, -120.387, 37.967, 1675, 0.40
KENTFIELD, COOP, Marin, -122.545, 37.957, 145, 0.08
SAN ANDREAS 2, COOP, Calaveras, -120.671, 38.191, 1100, 0.00
SUTTER HILL CDF, COOP, Amador, -120.801, 38.377, 1586, 2.05
WINTERS, WBAN, Yolo, -121.978, 38.525, 135, 0.05
LAKE SOLANO, COOP, Solano, -122.004, 38.492, 187, 0.02
CALISTOGA, COOP, Napa, -122.578, 38.577, 350, 0.40
MIDDLETOWN, COOP, Lake, -122.626, 38.748, 1121, 0.51
CLOVERDALE, COOP, Sonoma, -123.026, 38.793, 400, 0.00
GRASS VALLEY NO. 2, COOP, Nevada, -121.068, 39.204, 2400, 1.85
NEVADA CITY, COOP, Nevada, -121.001, 39.247, 2781, 2.65
TRUCKEE AIRPORT, WBAN, Nevada, -120.139, 39.320, 5900, 0.90
POTTER VALLEY POWERHOUSE, COOP, Mendocino, -123.129, 39.362, 1018, 0.24
SIERRAVILLE RS, COOP, Sierra, -120.370, 39.583, 4975, 0.30
COLEMAN FISHERIES STATION, COOP, Shasta, -122.143, 40.400, 420, 0.13
DUNSMUIR TREATMENT PL, COOP, Siskiyou, -122.282, 41.183, 2169, 0.19
FORT JONES RS, COOP, Siskiyou, -122.848, 41.601, 2729, 0.01
TULELAKE, COOP, Siskiyou, -121.474, 41.960, 4038, 0.02
BARSTOW, COOP, San Bernardino, -117.022, 34.893, 2220, 0.00
MARKLEY COVE, COOP, Napa, -122.124, 38.492, 480, 0.11
LEE VINING, COOP, Mono, -119.119, 37.957, 6797, T
NEW MELONES DAM HQ, COOP, Tuolumne, -120.486, 38.005, 960, 0.47
FREMONT, COOP, Alameda, -122.016, 37.542, 38, 0.01
VALLEJO, COOP, Solano, -122.187, 38.100, 341, 0.12
FRESNO 5 NE, COOP, Fresno, -119.709, 36.767, 338, 0.01
SUSANVILLE 2SW, COOP, Lassen, -120.663, 40.417, 4212, 0.00
MORAGA 2.4 NNW, CoCoRaHS, Contra Costa, -122.138, 37.870, 748, 0.19
SMITH RIVER 1.1 SSE, CoCoRaHS, Del Norte, -124.136, 41.915, 120, 0.35
SUSANVILLE 3.5 SSW, CoCoRaHS, Lassen, -120.674, 40.363, 4347, 0.21
AHWAHNEE 2.5 NNW, CoCoRaHS, Madera, -119.738, 37.400, 2840, 0.22
GRASS VALLEY 1.3 NNE, CoCoRaHS, Nevada, -121.046, 39.238, 2782, 1.70
GRASS VALLEY 2.7 SW, CoCoRaHS, Nevada, -121.092, 39.194, 2334, 1.54
ORANGE 3.0 ENE, CoCoRaHS, Orange, -117.778, 33.826, 649, 0.07
