"Name","Month","TotalPrecipitation_New"
"Redding Area","2018-01",4.85
"Redding Area","2018-02",0.35
"Redding Area","2018-03",3.66
"Redding Area","2018-04",4.47
"Redding Area","2018-05",0.7
"Redding Area","2018-06",0
"Redding Area","2018-07",0
"Redding Area","2018-08",0
"Redding Area","2018-09",0.03
"Redding Area","2018-10",0.52
"Redding Area","2018-11",6.5
"Redding Area","2018-12",4.32
"Redding Area","2019-01",7.77
"Redding Area","2019-02",8.79
"Redding Area","2019-03",9.33
"Redding Area","2019-04",2.09
"Redding Area","2019-05",4.05
"Redding Area","2019-06",0
"Redding Area","2019-07",0
"Redding Area","2019-08",1.01
"Redding Area","2019-09",0.3
"Redding Area","2019-10",0.09
"Redding Area","2019-11",2.08
"Redding Area","2019-12",7.53
"Redding Area","2020-01",2.83
"Redding Area","2020-02",0
"Redding Area","2020-03",5.51
"Redding Area","2020-04",1.31
"Redding Area","2020-05",4.3
"Redding Area","2020-06",0
"Redding Area","2020-07",0
"Redding Area","2020-08",0.05
"Redding Area","2020-09",0
"Redding Area","2020-10",0
"Redding Area","2020-11",1.5
"Redding Area","2020-12",2.35
"Redding Area","2021-01",4.93
"Redding Area","2021-02",1.9
"Redding Area","2021-03",2.59
"Redding Area","2021-04",0.44
"Redding Area","2021-05",0.09
"Redding Area","2021-06",0
"Redding Area","2021-07",0.01
"Redding Area","2021-08",0
"Redding Area","2021-09",0.43
"Redding Area","2021-10",5.74
"Redding Area","2021-11",2.5
"Redding Area","2021-12",5.37
"Redding Area","2022-01",1.16
"Redding Area","2022-02",0.02
"Redding Area","2022-03",0.65
"Redding Area","2022-04",2.44
"Redding Area","2022-05",0.11
"Redding Area","2022-06",0.85
"Redding Area","2022-07",0
"Redding Area","2022-08",0
"Redding Area","2022-09",0.91
"Redding Area","2022-10",0
"Redding Area","2022-11",2.47
"Redding Area","2022-12",8.31
"Redding Area","2023-01",9.26
"Redding Area","2023-02",3.95
"Redding Area","2023-03",11.4
"Redding Area","2023-04",0.94
"Redding Area","2023-05",2.81
"Redding Area","2023-06",0.14
"Redding Area","2023-07",0
"Redding Area","2023-08",0.26
"Redding Area","2023-09",1.46
"Redding Area","2023-10",0
"Redding Area","2023-11",2.06
"Redding Area","2023-12",7.39
"Redding Area","2024-01",6.76
"Redding Area","2024-02",6.59
"Redding Area","2024-03",5.01
"Redding Area","2024-04",1.58
"Redding Area","2024-05",1.47
"Redding Area","2024-06",0
"Redding Area","2024-07",0
"Redding Area","2024-08",0.19
"Redding Area","2024-09",0.65
"Redding Area","2024-10",0.32
"Redding Area","2024-11",9.66
"Redding Area","2024-12",9.15
"Redding Area","2025-01",1.56
"Redding Area","2025-02",7.91
