"Name","Month","TotalPrecipitation_New"
"Sacramento Downtown Area","2018-01",5.07
"Sacramento Downtown Area","2018-02",0.66
"Sacramento Downtown Area","2018-03",5.37
"Sacramento Downtown Area","2018-04",2.45
"Sacramento Downtown Area","2018-05",0.42
"Sacramento Downtown Area","2018-06",0
"Sacramento Downtown Area","2018-07",0
"Sacramento Downtown Area","2018-08",0
"Sacramento Downtown Area","2018-09",0
"Sacramento Downtown Area","2018-10",0.04
"Sacramento Downtown Area","2018-11",2.36
"Sacramento Downtown Area","2018-12",2.65
"Sacramento Downtown Area","2019-01",4.65
"Sacramento Downtown Area","2019-02",8.9
"Sacramento Downtown Area","2019-03",3.2
"Sacramento Downtown Area","2019-04",0.59
"Sacramento Downtown Area","2019-05",3.42
"Sacramento Downtown Area","2019-06",0
"Sacramento Downtown Area","2019-07",0
"Sacramento Downtown Area","2019-08",0
"Sacramento Downtown Area","2019-09",0.06
"Sacramento Downtown Area","2019-10",0
"Sacramento Downtown Area","2019-11",0.7
"Sacramento Downtown Area","2019-12",4.78
"Sacramento Downtown Area","2020-01",1.26
"Sacramento Downtown Area","2020-02",0
"Sacramento Downtown Area","2020-03",1.68
"Sacramento Downtown Area","2020-04",2.19
"Sacramento Downtown Area","2020-05",0.32
"Sacramento Downtown Area","2020-06",0.01
"Sacramento Downtown Area","2020-07",0
"Sacramento Downtown Area","2020-08",0.01
"Sacramento Downtown Area","2020-09",0
"Sacramento Downtown Area","2020-10",0
"Sacramento Downtown Area","2020-11",0.87
"Sacramento Downtown Area","2020-12",1.53
"Sacramento Downtown Area","2021-01",3
"Sacramento Downtown Area","2021-02",1.05
"Sacramento Downtown Area","2021-03",1.29
"Sacramento Downtown Area","2021-04",0
"Sacramento Downtown Area","2021-05",0
"Sacramento Downtown Area","2021-06",0
"Sacramento Downtown Area","2021-07",0
"Sacramento Downtown Area","2021-08",0
"Sacramento Downtown Area","2021-09",0
"Sacramento Downtown Area","2021-10",6.72
"Sacramento Downtown Area","2021-11",0.74
"Sacramento Downtown Area","2021-12",6.98
"Sacramento Downtown Area","2022-01",0.05
"Sacramento Downtown Area","2022-02",0
"Sacramento Downtown Area","2022-03",0.94
"Sacramento Downtown Area","2022-04",0.96
"Sacramento Downtown Area","2022-05",0.06
"Sacramento Downtown Area","2022-06",0.16
"Sacramento Downtown Area","2022-07",0
"Sacramento Downtown Area","2022-08",0
"Sacramento Downtown Area","2022-09",0.49
"Sacramento Downtown Area","2022-10",0
"Sacramento Downtown Area","2022-11",1.16
"Sacramento Downtown Area","2022-12",9.52
"Sacramento Downtown Area","2023-01",7.54
