"Name","Month","TotalPrecipitation_New"
"San Francisco Airport Area","2018-01",4.85
"San Francisco Airport Area","2018-02",0.39
"San Francisco Airport Area","2018-03",3.32
"San Francisco Airport Area","2018-04",2.24
"San Francisco Airport Area","2018-05",0.01
"San Francisco Airport Area","2018-06",0
"San Francisco Airport Area","2018-07",0
"San Francisco Airport Area","2018-08",0
"San Francisco Airport Area","2018-09",0
"San Francisco Airport Area","2018-10",0.16
"San Francisco Airport Area","2018-11",3.07
"San Francisco Airport Area","2018-12",1.65
"San Francisco Airport Area","2019-01",4.57
"San Francisco Airport Area","2019-02",7.19
"San Francisco Airport Area","2019-03",4.47
"San Francisco Airport Area","2019-04",0.2
"San Francisco Airport Area","2019-05",2
"San Francisco Airport Area","2019-06",0
"San Francisco Airport Area","2019-07",0
"San Francisco Airport Area","2019-08",0
"San Francisco Airport Area","2019-09",0.06
"San Francisco Airport Area","2019-10",0
"San Francisco Airport Area","2019-11",1.29
"San Francisco Airport Area","2019-12",3.71
"San Francisco Airport Area","2020-01",1.18
"San Francisco Airport Area","2020-02",0
"San Francisco Airport Area","2020-03",1.32
"San Francisco Airport Area","2020-04",1.36
"San Francisco Airport Area","2020-05",0.25
"San Francisco Airport Area","2020-06",0
"San Francisco Airport Area","2020-07",0
"San Francisco Airport Area","2020-08",0.05
"San Francisco Airport Area","2020-09",0
"San Francisco Airport Area","2020-10",0
"San Francisco Airport Area","2020-11",0.31
"San Francisco Airport Area","2020-12",1.39
"San Francisco Airport Area","2021-01",2.92
"San Francisco Airport Area","2021-02",1.25
"San Francisco Airport Area","2021-03",1.38
"San Francisco Airport Area","2021-04",0
"San Francisco Airport Area","2021-05",0
"San Francisco Airport Area","2021-06",0
"San Francisco Airport Area","2021-07",0
"San Francisco Airport Area","2021-08",0
"San Francisco Airport Area","2021-09",0
"San Francisco Airport Area","2021-10",5.84
"San Francisco Airport Area","2021-11",0.63
"San Francisco Airport Area","2021-12",9.81
"San Francisco Airport Area","2022-01",0.42
"San Francisco Airport Area","2022-02",0.01
"San Francisco Airport Area","2022-03",0.44
"San Francisco Airport Area","2022-04",0.97
"San Francisco Airport Area","2022-05",0
"San Francisco Airport Area","2022-06",0.05
"San Francisco Airport Area","2022-07",0
"San Francisco Airport Area","2022-08",0.01
"San Francisco Airport Area","2022-09",0.27
"San Francisco Airport Area","2022-10",0.01
"San Francisco Airport Area","2022-11",1.58
"San Francisco Airport Area","2022-12",9.66
"San Francisco Airport Area","2023-01",9.31
"San Francisco Airport Area","2023-02",3.4
"San Francisco Airport Area","2023-03",6.6
"San Francisco Airport Area","2023-04",0.1
"San Francisco Airport Area","2023-05",0.72
"San Francisco Airport Area","2023-06",0.01
"San Francisco Airport Area","2023-07",0
"San Francisco Airport Area","2023-08",0.03
"San Francisco Airport Area","2023-09",0.03
"San Francisco Airport Area","2023-10",0
"San Francisco Airport Area","2023-11",1.42
"San Francisco Airport Area","2023-12",3.72
"San Francisco Airport Area","2024-01",0.44
