"","Basin  Site Name","Elevation","Snow Totals","Daily Median Snow Totals","MedianPeak(in)","Median PeakDate","Percent of Today's Median","Percent of Median Peak","Basin"
"1","Ebbetts Pass","8661","29.9","33.2","35.1","Apr 12","90","85","CARSON RIVER"
"2","Horse Meadow","8557","20.0","17.9","20.5","Mar 26","112","98","CARSON RIVER"
"3","Heavenly Valley","8534","21.9","21.4","23.8","Mar 30","102","92","CARSON RIVER"
"4","Carson Pass","8355","-M","28.2","30.1","Apr 07","*","*","CARSON RIVER"
"5","Monitor Pass","8306","14.0","14.8","15.6","Mar 28","95","90","CARSON RIVER"
"6","Burnside Lake","8129","22.7","23.8","24.7","Mar 27","95","92","CARSON RIVER"
"7","Blue Lakes","8067","31.0","26.2","29.2","Apr 14","118","106","CARSON RIVER"
"8","Forestdale Creek","8017","35.3","30.2","33.8","Apr 05","117","104","CARSON RIVER"
"9","Marlette Lake","7884","19.8","20.2","22.7","Mar 29","98","87","CARSON RIVER"
"10","Hagans Meadow","7742","16.0","13.8","17.2","Mar 12","116","93","CARSON RIVER"
"11","Poison Flat","7736","17.5","16.4","18.3","Apr 03","107","96","CARSON RIVER"
"12","Spratt Creek","6063","-M","0.3","N/A","N/A","*","*","CARSON RIVER"
