"","Basin  Site Name","Elevation","Snow Totals","Daily Median Snow Totals","MedianPeak(in)","Median PeakDate","Percent of Today's Median","Percent of Median Peak","Basin"
"1","Cave Mountain","10578","1.0","N/A","N/A","N/A","*","*","EASTERN NEVADA"
"2","Wheeler Peak","10060","-M","1.2","11.6","Apr 19","*","*","EASTERN NEVADA"
"3","Berry Creek","9377","2.2","1.4","N/A","N/A","157*","*","EASTERN NEVADA"
"4","Defiance Mines","9302","-M","N/A","N/A","N/A","*","*","EASTERN NEVADA"
"5","Ward Mountain","9163","0.9","1.0","12.4","Mar 31","90*","7*","EASTERN NEVADA"
"6","Takka Wiiya","9122","2.2","N/A","N/A","N/A","*","*","EASTERN NEVADA"
"7","Big Creek Sum","8685","1.1","1.0","18.8","Apr 19","110*","6*","EASTERN NEVADA"
"8","Corduroy Flat","8640","0.0","N/A","N/A","N/A","*","*","EASTERN NEVADA"
"9","Silver Creek Nv","8200","-M","N/A","N/A","N/A","*","*","EASTERN NEVADA"
"10","Diamond Peak","8017","1.3","0.5","7.0","Mar 10","260*","19*","EASTERN NEVADA"
"11","Vacarro Springs","7890","1.3","N/A","N/A","N/A","*","*","EASTERN NEVADA"
"12","Kalamazoo","7775","0.2","N/A","N/A","N/A","*","*","EASTERN NEVADA"
"13","Bird Creek","7537","1.0","N/A","N/A","N/A","*","*","EASTERN NEVADA"
"14","White River Nv","7367","-M","N/A","N/A","N/A","*","*","EASTERN NEVADA"
