"","Basin  Site Name","Elevation","Snow Totals","Daily Median Snow Totals","MedianPeak(in)","Median PeakDate","Percent of Today's Median","Percent of Median Peak","Basin"
"1","Mt Rose Ski Area","8801","37.2","35.2","37.4","Apr 15","106","99","LAKE TAHOE"
"2","Heavenly Valley","8534","24.2","20.8","23.8","Mar 30","116","102","LAKE TAHOE"
"3","Carson Pass","8355","-M","28.2","30.1","Apr 07","*","*","LAKE TAHOE"
"4","Palisades Tahoe","8013","33.6","46.0","50.8","Apr 05","73","66","LAKE TAHOE"
"5","Marlette Lake","7884","24.3","18.9","22.7","Mar 29","129","107","LAKE TAHOE"
"6","Hagans Meadow","7742","19.5","10.2","17.2","Mar 12","191","113","LAKE TAHOE"
"7","Echo Peak","7653","40.4","34.6","43.0","Mar 28","117","94","LAKE TAHOE"
"8","Rubicon #2","7619","28.2","22.1","26.5","Apr 05","128","106","LAKE TAHOE"
"9","Tahoe City Cross","6797","14.2","5.0","14.1","Mar 08","284","101","LAKE TAHOE"
"10","Ward Creek #3","6745","43.3","31.0","37.3","Mar 29","140","116","LAKE TAHOE"
"11","Fallen Leaf","6242","1.7","0.1","N/A","N/A","1700*","*","LAKE TAHOE"
