"","Basin  Site Name","Elevation","Snow Totals","Daily Median Snow Totals","MedianPeak(in)","Median PeakDate","Percent of Today's Median","Percent of Median Peak","Basin"
"1","Big Creek Sum","8710","7.5","10.2","18.8","Apr 19","74","40","LOWER HUMBOLDT RIVER"
"2","Granite Peak","8500","17.6","13.5","21.6","Apr 15","130","81","LOWER HUMBOLDT RIVER"
"3","Toe Jam","7700","10.2","12.0","15.4","Apr 06","85","66","LOWER HUMBOLDT RIVER"
"4","Snowstorm Mtn","7410","-M","N/A","N/A","N/A","*","*","LOWER HUMBOLDT RIVER"
"5","Lewis Peak","7380","9.3","7.8","11.2","Mar 24","119","83","LOWER HUMBOLDT RIVER"
"6","Porter Canyon","7190","-M","N/A","N/A","N/A","*","*","LOWER HUMBOLDT RIVER"
"7","Buckskin Lower","6920","8.2","7.0","10.4","Mar 25","117","79","LOWER HUMBOLDT RIVER"
"8","Midas","6630","-M","N/A","N/A","N/A","*","*","LOWER HUMBOLDT RIVER"
"9","Golconda","6630","5.6","N/A","N/A","N/A","*","*","LOWER HUMBOLDT RIVER"
"10","Lamance Creek","6390","6.5","7.1","10.6","Mar 09","92","61","LOWER HUMBOLDT RIVER"
