"","Basin  Site Name","Elevation","Snow Totals","Daily Median Snow Totals","MedianPeak(in)","Median PeakDate","Percent of Today's Median","Percent of Median Peak","Basin"
"1","Jacks Peak","8440","-M","N/A","N/A","N/A","*","*","OWYHEE RIVER"
"2","Toe Jam","7700","14.4","13.3","15.4","Apr 06","108","94","OWYHEE RIVER"
"3","Jack Creek Upper","7380","16.7","12.2","18.2","Apr 12","137","92","OWYHEE RIVER"
"4","Fawn Creek","7040","14.6","12.4","17.8","Apr 07","118","82","OWYHEE RIVER"
"5","Merritt Mountain","6920","-M","N/A","N/A","N/A","*","*","OWYHEE RIVER"
"6","Big Bend","6890","9.8","8.0","10.0","Mar 18","122","98","OWYHEE RIVER"
"7","Fry Canyon","6790","3.8","N/A","N/A","N/A","*","*","OWYHEE RIVER"
"8","Laurel Draw","6680","12.2","9.0","11.3","Mar 15","136","108","OWYHEE RIVER"
"9","Columbia Basin","6480","-M","N/A","N/A","N/A","*","*","OWYHEE RIVER"
"10","Taylor Canyon","6320","0.8","5.2","6.0","Mar 08","15","13","OWYHEE RIVER"
