"","Basin  Site Name","Elevation","Snow Totals","Daily Median Snow Totals","MedianPeak(in)","Median PeakDate","Percent of Today's Median","Percent of Median Peak","Basin"
"1","Pole Creek R.S.","8360","11.1","11.6","21.4","Apr 25","96","52","SNAKE RIVER"
"2","Bear Creek","8090","10.0","9.6","20.4","Apr 15","104","49","SNAKE RIVER"
"3","Stag Mountain","7640","-M","N/A","N/A","N/A","*","*","SNAKE RIVER"
"4","Bostetter R.S.","7530","11.1","9.9","17.3","Apr 01","112","64","SNAKE RIVER"
"5","Jakes Creek","7380","-M","N/A","N/A","N/A","*","*","SNAKE RIVER"
"6","Seventysix Creek","7360","8.6","6.6","11.0","Mar 22","130","78","SNAKE RIVER"
"7","Wilson Creek","7110","7.4","8.4","13.8","Mar 26","88","54","SNAKE RIVER"
"8","Merritt Mountain","6920","-M","N/A","N/A","N/A","*","*","SNAKE RIVER"
"9","Big Bend","6890","6.0","5.1","10.0","Mar 18","118","60","SNAKE RIVER"
"10","Magic Mountain","6940","13.4","11.9","19.3","Mar 31","113","69","SNAKE RIVER"
"11","ONeil Creek","6500","3.1","N/A","N/A","N/A","*","*","SNAKE RIVER"
