"","Basin  Site Name","Elevation","Snow Totals","Daily Median Snow Totals","MedianPeak(in)","Median PeakDate","Percent of Today's Median","Percent of Median Peak","Basin"
"1","Mt Rose Ski Area","8801","36.7","34.8","37.4","Apr 15","105","98","TRUCKEE RIVER"
"2","Independence Lake","8338","42.5","42.6","45.1","Apr 25","100","94","TRUCKEE RIVER"
"3","Big Meadow","8235","21.3","18.0","21.0","Apr 01","118","101","TRUCKEE RIVER"
"4","Palisades Tahoe","8013","33.3","44.2","50.8","Apr 05","75","66","TRUCKEE RIVER"
"5","Marlette Lake","7884","23.9","19.1","22.7","Mar 29","125","105","TRUCKEE RIVER"
"6","Independence Camp","6980","22.4","11.2","17.4","Mar 24","200","129","TRUCKEE RIVER"
"7","Css Lab","6894","40.3","33.7","37.9","Mar 26","120","106","TRUCKEE RIVER"
"8","Tahoe City Cross","6797","14.7","7.4","14.1","Mar 08","199","104","TRUCKEE RIVER"
"9","Ward Creek #3","6745","44.2","33.4","37.3","Mar 29","132","118","TRUCKEE RIVER"
"10","Truckee #2","6509","20.6","13.8","17.8","Mar 14","149","116","TRUCKEE RIVER"
"11","Little Valley","6493","14.4","N/A","N/A","N/A","*","*","TRUCKEE RIVER"
"12","Independence Creek","6436","12.0","10.9","14.2","Mar 22","110","85","TRUCKEE RIVER"
