"","Basin  Site Name","Elevation","Snow Totals","Daily Median Snow Totals","MedianPeak(in)","Median PeakDate","Percent of Today's Median","Percent of Median Peak","Basin"
"1","Lamoille Upper","8993","36.0","N/A","N/A","N/A","*","*","UPPER HUMBOLDT RIVER"
"2","Corral Canyon","8445","14.2","15.5","18.0","Apr 17","92","79","UPPER HUMBOLDT RIVER"
"3","Jacks Peak","8424","-M","N/A","N/A","N/A","*","*","UPPER HUMBOLDT RIVER"
"4","Green Mountain","8185","6.8","5.8","15.6","Mar 22","117","44","UPPER HUMBOLDT RIVER"
"5","Lamoille #3","8051","3.1","5.4","13.5","Mar 25","57","23","UPPER HUMBOLDT RIVER"
"6","Bear Creek","8040","15.5","17.5","20.4","Apr 15","89","76","UPPER HUMBOLDT RIVER"
"7","Dorsey Basin","7903","11.3","9.2","15.2","Apr 05","123","74","UPPER HUMBOLDT RIVER"
"8","Pole Canyon","7760","6.0","N/A","N/A","N/A","*","*","UPPER HUMBOLDT RIVER"
"9","Stag Mountain","7640","-M","N/A","N/A","N/A","*","*","UPPER HUMBOLDT RIVER"
"10","Jakes Creek","7380","-M","N/A","N/A","N/A","*","*","UPPER HUMBOLDT RIVER"
"11","Jack Creek Upper","7377","16.2","13.4","18.2","Apr 12","121","89","UPPER HUMBOLDT RIVER"
"12","Seventysix Creek","7350","1.4","0.4","11.0","Mar 22","350*","13*","UPPER HUMBOLDT RIVER"
"13","Draw Creek","7332","6.2","1.0","12.7","Mar 27","620*","49*","UPPER HUMBOLDT RIVER"
"14","Tent Mtn Lower","7100","-M","N/A","N/A","N/A","*","*","UPPER HUMBOLDT RIVER"
"15","Fry Canyon","6798","0.0","N/A","N/A","N/A","*","*","UPPER HUMBOLDT RIVER"
"16","Dry Creek","6555","0.0","N/A","N/A","N/A","*","*","UPPER HUMBOLDT RIVER"
"17","Taylor Canyon","6325","0.0","0.0","6.0","Mar 08","*","0*","UPPER HUMBOLDT RIVER"
